lang_class,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit
hate,0.9942375999999999,0.112447875,0.9618480199999999,0.03169376,0.84443722,0.0022907292,0.44735614999999995
offensive,0.983430025,0.042693823500000005,0.93073685,0.014860814,0.5636367250000001,0.00149879825,0.64507
neither,0.979467375,0.024864775,0.90233585,0.0161010415,0.622402535,0.0009701438,0.225556485
